CLASS,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
MALICIOUS,565.54216,CBHX8q3uQdex6pkAxg,192.168.1.112,49777,192.168.1.135,445,tcp,0.004067,455,409,RSTR,7,747,7,701
MALICIOUS,571.606002,CXhLU62WNzKnbPHCw4,192.168.1.135,49180,192.168.1.1,445,tcp,0.00021,0,0,REJ,1,52,1,40
MALICIOUS,568.546836,CwPcTT3AKnAh9lEgw1,192.168.1.112,49835,192.168.1.135,445,tcp,0.003737,455,409,RSTR,7,747,7,701
MALICIOUS,568.550364,CK076T17U0ZOXlvga6,192.168.1.112,49836,192.168.1.135,445,tcp,0.904954,5378399,50641,RSTR,3869,5533171,2582,153933
MALICIOUS,572.185004,CEdCDDVWeNGmElILi,192.168.1.135,49180,192.168.1.1,445,tcp,0.000207,0,0,REJ,1,52,1,40
MALICIOUS,569.553131,C153te439jSuZzwrwa,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,62458,fd2d:ab8c:225::1,53,udp,0.00031,26,26,SF,1,74,1,74
MALICIOUS,582.289882,CcOTb24oUKw3fofmMe,192.168.1.135,49329,192.168.1.112,445,tcp,0.000406,0,0,REJ,1,52,1,40
MALICIOUS,582.794019,Cfc1SX3H3cUBxZemfg,192.168.1.135,49329,192.168.1.112,445,tcp,0.000364,0,0,REJ,1,52,1,40
MALICIOUS,574.707456,CM6nWX2OzO6p3kTah,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,55114,fd2d:ab8c:225::1,53,udp,0.00063,37,443,SF,1,85,1,491
MALICIOUS,574.708387,CcdQyF3zk4UZVn33Yj,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,59816,fd2d:ab8c:225::1,53,udp,0.000488,37,487,SF,1,85,1,535
MALICIOUS,574.709482,C1esec1clgmOGldPy2,192.168.1.135,49218,82.195.75.101,443,tcp,5.045367,641,3065,RSTO,9,1013,8,3397
MALICIOUS,584.802883,CYLmYu2YnbTMaKoiUb,192.168.1.135,49370,192.168.1.139,445,tcp,0.073502,0,0,REJ,1,52,1,40
MALICIOUS,580.749016,CH9JG0300p33q2HIuj,192.168.1.135,49308,82.195.75.101,443,tcp,0.151466,673,2687,RSTO,7,965,7,2979
MALICIOUS,579.601092,CmN7t74IdUwdEbHE6c,192.168.1.135,49288,195.113.232.75,80,tcp,1.299667,286,241,RSTO,5,510,4,654
MALICIOUS,587.670953,CBQxVx2VE24tl2Hgci,192.168.1.135,49422,192.168.1.168,445,tcp,0.001711,0,0,REJ,1,52,1,40
MALICIOUS,583.291277,CuIWkr43ZhPaS9nKx5,192.168.1.135,49329,192.168.1.112,445,tcp,0.000408,0,0,REJ,1,48,1,40
MALICIOUS,579.315801,Crf0tM2OR9SzmlKsx3,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,55914,fd2d:ab8c:225::1,53,udp,0.282505,41,193,SF,1,89,1,241
MALICIOUS,579.598608,CBwCPA1PVLnuYukQs,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,56467,fd2d:ab8c:225::1,53,udp,0.001802,41,219,SF,1,89,1,267
MALICIOUS,585.384239,CpdNVB4UDPWisLyOW1,192.168.1.135,49370,192.168.1.139,445,tcp,2.320348,0,0,REJ,1,52,1,40
MALICIOUS,592.554584,C8fsuh2NBRTnIOeRB6,192.168.1.135,49519,83.221.36.142,445,tcp,0.019914,0,0,REJ,1,52,1,40
MALICIOUS,588.168027,CU9ZDd2Gc1nKbT54T9,192.168.1.135,49422,192.168.1.168,445,tcp,0.010607,0,0,REJ,1,52,1,40
MALICIOUS,592.755381,CYq3eLLG4T2GQW4Cj,192.168.1.135,49524,125.163.52.43,445,tcp,0.199069,0,0,REJ,1,52,1,40
MALICIOUS,591.357236,ChCezq4wTNxsLPyUwi,192.168.1.135,49461,192.168.1.188,445,tcp,0.011227,0,0,REJ,1,52,1,40
MALICIOUS,595.880847,CqYNFk2VCFwKbr1Pol,192.168.1.135,49588,192.168.1.249,445,tcp,0.001953,0,0,REJ,1,52,1,40
MALICIOUS,596.984616,C0gg2x4SeEAh93uUzi,192.168.1.135,49607,61.244.252.1,445,tcp,0.272336,0,0,REJ,1,52,1,40
MALICIOUS,593.075747,CjtmgV2Pa2kkjh0XRk,192.168.1.135,49519,83.221.36.142,445,tcp,0.019861,0,0,REJ,1,52,1,40
MALICIOUS,593.455775,Cg5Sr9FVYeXW6LYag,192.168.1.135,49524,125.163.52.43,445,tcp,0.198814,0,0,REJ,1,52,1,40
MALICIOUS,598.282745,CYtZYz3MtzAJvypIi9,192.168.1.135,49624,67.197.210.43,445,tcp,0.128469,0,0,REJ,1,52,1,40
MALICIOUS,594.477697,CR9os63imaOU6D7uo5,192.168.1.135,49561,61.112.201.161,445,tcp,0.919047,0,0,REJ,1,52,1,40
MALICIOUS,596.379921,CZfcERvu4sQzSaiBe,192.168.1.135,49588,192.168.1.249,445,tcp,0.009028,0,0,REJ,1,52,1,40
MALICIOUS,597.761846,CtRNPy3g8q19l5sC21,192.168.1.135,49607,61.244.252.1,445,tcp,0.29742,0,0,REJ,1,52,1,40
MALICIOUS,602.80936,CBNZIu1Fsy0XGcaeF2,192.168.1.135,49686,174.23.238.90,445,tcp,0.198169,0,0,REJ,1,52,1,40
MALICIOUS,598.913503,CRHfTVCuGaJycz2Ab,192.168.1.135,49624,67.197.210.43,445,tcp,0.126877,0,0,REJ,1,52,1,40
MALICIOUS,603.913293,C0WvhR2lTvHYl25hW7,192.168.1.135,49703,177.8.160.21,445,tcp,0.262593,0,0,REJ,1,52,1,40
MALICIOUS,606.514879,CbiWacJ5KFgFkZA99,192.168.1.135,49745,147.126.223.186,445,tcp,0.14446,0,0,REJ,1,52,1,40
MALICIOUS,603.510483,Cigvy61UnVkRMA6zhh,192.168.1.135,49686,174.23.238.90,445,tcp,0.199703,0,0,REJ,1,52,1,40
MALICIOUS,604.672396,C9tT822bFSJAXFOAyh,192.168.1.135,49703,177.8.160.21,445,tcp,0.263514,0,0,REJ,1,52,1,40
MALICIOUS,610.211043,CIDpJl26OJqj9HL5ef,192.168.1.135,49813,60.108.253.200,445,tcp,0.274407,0,0,REJ,1,52,1,40
MALICIOUS,607.165686,CkCSEp4wQsU4SMA92i,192.168.1.135,49745,147.126.223.186,445,tcp,0.164069,0,0,REJ,1,52,1,40
MALICIOUS,607.182594,CJfrl61gRQPHNZIbHi,192.168.1.135,49756,82.195.75.101,443,tcp,0.193219,641,3065,RSTO,8,973,8,3397
MALICIOUS,608.378306,CRz0AJ3yMrF6XQZR6f,192.168.1.135,49779,82.195.75.101,443,tcp,0.180508,673,2687,RSTO,7,965,7,2979
MALICIOUS,610.98087,CkVskf1ufjsl8rR9K1,192.168.1.135,49813,60.108.253.200,445,tcp,0.274258,0,0,REJ,1,52,1,40
MALICIOUS,617.420839,CIixs735WxTBjuUWwj,192.168.1.135,49954,24.207.3.192,445,tcp,0.169373,0,0,REJ,1,52,1,40
MALICIOUS,619.033195,C2FvEkRZvMO0s0Rn1,192.168.1.135,49991,191.142.93.18,445,tcp,0.281834,0,0,REJ,1,52,1,40
MALICIOUS,618.091753,CtzZn62zdOZgbQtsN8,192.168.1.135,49954,24.207.3.192,445,tcp,0.169199,0,0,REJ,1,52,1,40
MALICIOUS,619.813628,CAF6TC4TgHG7L6O4Kk,192.168.1.135,49991,191.142.93.18,445,tcp,0.291338,0,0,REJ,1,52,1,40
MALICIOUS,624.481091,CjJjnX1QqU1JaaYzn9,192.168.1.135,50116,181.112.188.17,445,tcp,0.194718,0,0,REJ,1,52,1,40
MALICIOUS,626.013387,CEZjtl4zXE5IJZlAu,192.168.1.135,50156,200.217.31.8,445,tcp,0.21637,0,0,REJ,1,52,1,40
MALICIOUS,628.306096,Cw4pVwQZTOrOxLG45,192.168.1.135,50214,176.179.49.128,445,tcp,0.044041,0,0,REJ,1,52,1,40
MALICIOUS,625.171414,CmZMJ64kZLvQLnR776,192.168.1.135,50116,181.112.188.17,445,tcp,0.194669,0,0,REJ,1,52,1,40
MALICIOUS,626.7341,CIDd0f2FwFZQiEv0Dd,192.168.1.135,50156,200.217.31.8,445,tcp,0.216149,0,0,REJ,1,52,1,40
MALICIOUS,632.011209,CZzyvm2XNIrJ5iZ3Bl,192.168.1.135,50314,189.91.3.84,445,tcp,0.445915,0,0,REJ,1,52,1,40
MALICIOUS,628.856911,Ct8aKJ1J8sC42h7Tpf,192.168.1.135,50214,176.179.49.128,445,tcp,0.044173,0,0,REJ,1,52,1,40
MALICIOUS,574.565671,CrBq9U32D0zQ9kbC3k,fe80::da58:d7ff:fe00:f72,135,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,136,icmp,0.000851,24,24,OTH,1,72,1,72
MALICIOUS,634.115616,CAa1ox2vsG45GNGYkb,192.168.1.135,50375,75.127.167.162,445,tcp,0.122257,0,0,REJ,1,52,1,46
MALICIOUS,634.915834,CAa1XD2XIPqa6Kjmi7,192.168.1.135,50398,194.183.181.134,445,tcp,0.060899,0,0,REJ,1,52,1,40
MALICIOUS,636.018412,C2M6Hl4p1lSShOQXNh,192.168.1.135,50432,85.3.155.35,445,tcp,0.040558,0,0,REJ,1,52,1,40
MALICIOUS,632.41235,CDw79X30fPrLl1YhOh,192.168.1.135,50327,152.152.31.16,445,tcp,0.022229,0,0,RSTOS0,2,92,1,40
MALICIOUS,632.963025,CUVWH9207LRfLJr0el,192.168.1.135,50314,189.91.3.84,445,tcp,0.406477,0,0,REJ,1,52,1,40
MALICIOUS,579.573613,CgB2QP1fZ1qB4HzfXl,fe80::da58:d7ff:fe00:f72,135,fe80::3415:2c17:d667:c2c1,136,icmp,0.000155,24,24,OTH,1,72,1,72
MALICIOUS,634.745594,Cy46kF1eCmRYvcc2b9,192.168.1.135,50375,75.127.167.162,445,tcp,0.123863,0,0,REJ,1,52,1,46
MALICIOUS,634.98393,CZk6lL121Jtp0xKhW,192.168.1.188,61412,192.168.1.135,139,tcp,0.004538,0,0,SF,4,220,2,112
MALICIOUS,634.983956,CbQdZXUSlnCTr1A5,192.168.1.188,61411,192.168.1.135,445,tcp,0.004638,0,0,RSTR,3,168,3,152
MALICIOUS,634.986084,CPiGmq4tJfaevUCz4e,192.168.1.188,61413,192.168.1.135,445,tcp,0.09648,286,522,RSTR,9,766,6,830
MALICIOUS,635.476464,CJudcU1Dv87ZV46cWk,192.168.1.135,50398,194.183.181.134,445,tcp,0.060517,0,0,REJ,1,52,1,40
MALICIOUS,636.598215,Cy8vXW3J6j5WBFrVm5,192.168.1.135,50432,85.3.155.35,445,tcp,0.04043,0,0,REJ,1,52,1,40
MALICIOUS,641.436206,C31zPQ24o6pQoaudo3,192.168.1.135,50600,185.2.103.205,445,tcp,0.028077,0,0,REJ,1,52,1,40
MALICIOUS,641.836609,Crd3busF51dyVExNg,192.168.1.135,50613,192.227.78.218,445,tcp,0.141341,0,0,REJ,1,52,1,40
MALICIOUS,637.69056,C2cVG93zvuik5L9w55,192.168.1.135,50479,119.152.71.135,445,tcp,0.554297,0,0,REJ,1,52,1,40
MALICIOUS,643.528168,CjBymh3ldM9Qdxn5L7,192.168.1.135,50670,66.167.143.19,445,tcp,0.131608,0,0,REJ,1,52,1,40
MALICIOUS,634.525266,ChGOIb3vzlgqqBjqhc,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,53002,fd2d:ab8c:225::1,53,udp,0.000328,29,29,SF,1,77,1,77
MALICIOUS,635.082407,C3IOTntMC4i1Ozgve,192.168.1.188,137,192.168.1.135,137,udp,0.002708,112,211,SF,2,168,1,239
MALICIOUS,644.740023,ChytKW29wgfUHnvix3,192.168.1.135,50710,177.198.243.153,445,tcp,0.25935,0,0,REJ,1,52,1,40
MALICIOUS,646.042804,Chcwnv3SxaYLLItnHk,192.168.1.135,50755,203.90.77.80,445,tcp,0.165497,0,0,REJ,1,52,1,40
MALICIOUS,640.89456,ClxGTW3HPr0SfmVOd8,192.168.1.135,50579,191.202.247.35,445,tcp,1.038942,0,0,REJ,1,52,1,40
MALICIOUS,641.965731,CSKWhV1PokuxKk5I0a,192.168.1.135,50600,185.2.103.205,445,tcp,0.027953,0,0,REJ,1,52,1,40
MALICIOUS,642.486374,CZoZ0jLcmuaM6v224,192.168.1.135,50613,192.227.78.218,445,tcp,0.141814,0,0,REJ,1,52,1,40
MALICIOUS,647.314564,CMEnRQ34ZxPKUd4LIl,192.168.1.135,50797,109.229.39.97,445,tcp,0.084806,0,0,REJ,1,52,1,40
MALICIOUS,647.63519,CmfIHRnOx76mSiDPb,192.168.1.135,50810,168.151.28.113,445,tcp,0.127792,0,0,REJ,1,52,1,40
MALICIOUS,647.734982,CZaQiI1rqAGfntMIAg,192.168.1.135,50814,46.198.177.109,445,tcp,0.08499,0,0,REJ,1,52,1,40
MALICIOUS,643.220586,CSX2jE4hw4GTfSbIpj,192.168.1.135,50658,52.164.251.44,443,tcp,0.168475,6707,2816,SF,16,7433,10,3228
MALICIOUS,647.725269,CEpV632Q69arAifPYe,192.168.1.135,50812,203.140.149.48,445,tcp,0.302372,0,0,REJ,1,52,1,40
MALICIOUS,644.158854,CW5D253hWytYSGl5ti,192.168.1.135,50670,66.167.143.19,445,tcp,0.131627,0,0,REJ,1,52,1,40
MALICIOUS,648.545883,ChoCP635ZXBs4YeC6l,192.168.1.135,50840,61.130.239.31,445,tcp,0.405307,0,0,REJ,1,52,1,40
MALICIOUS,645.500505,C4EP9n48Sns8HUQhpj,192.168.1.135,50710,177.198.243.153,445,tcp,0.258808,0,0,REJ,1,52,1,40
MALICIOUS,646.712722,CSGSoS244iL49VQnV5,192.168.1.135,50755,203.90.77.80,445,tcp,0.165618,0,0,REJ,1,52,1,40
MALICIOUS,651.340084,CK3HT726HQaSzpch55,192.168.1.135,50942,197.38.153.109,445,tcp,0.129326,0,0,REJ,1,52,1,40
MALICIOUS,646.622773,CIMTtv2pwazGVp6mA9,192.168.1.135,50774,176.80.113.8,445,tcp,1.137157,0,0,REJ,1,52,1,40
MALICIOUS,647.903837,C7u1mt14lOUfqW4fnf,192.168.1.135,50797,109.229.39.97,445,tcp,0.085089,0,0,REJ,1,52,1,40
MALICIOUS,643.131465,Cu4YsN3P9xaBXSvk5h,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,49382,fd2d:ab8c:225::1,53,udp,0.079163,39,119,SF,1,87,1,167
MALICIOUS,643.211039,CCqVKr3Pm4IOqkCL48,fd2d:ab8c:225:0:c5bd:7dba:c09b:5a83,62785,fd2d:ab8c:225::1,53,udp,0.007916,39,166,SF,1,87,1,214
MALICIOUS,648.264773,CdlZoD3Hv6Ud3cfB1j,192.168.1.135,50810,168.151.28.113,445,tcp,0.127691,0,0,REJ,1,52,1,40
MALICIOUS,648.32449,C8tgcR3fntx07TkM3d,192.168.1.135,50814,46.198.177.109,445,tcp,0.085064,0,0,REJ,1,52,1,40
MALICIOUS,652.841907,CDpT371qszOOYMdk18,192.168.1.135,50997,125.27.164.202,445,tcp,0.229013,0,0,REJ,1,52,1,40
MALICIOUS,648.53477,Cmj3Af3dPulo8I4IH5,192.168.1.135,50812,203.140.149.48,445,tcp,0.302064,0,0,REJ,1,52,1,40
MALICIOUS,649.456527,CooDiR2es7jGPhblEc,192.168.1.135,50840,61.130.239.31,445,tcp,0.400766,0,0,REJ,1,52,1,40
MALICIOUS,656.156523,CPWcG81fWZ37iRwsGh,192.168.1.135,51126,86.28.39.222,445,tcp,0.034157,0,0,REJ,1,52,1,40
MALICIOUS,651.970028,CGm6Ri4a8xYOpHih5k,192.168.1.135,50942,197.38.153.109,445,tcp,0.129166,0,0,REJ,1,52,1,40
MALICIOUS,658.249458,CzlgGD4tJHLr17xXih,192.168.1.135,51209,131.117.144.233,445,tcp,0.017998,0,0,REJ,1,52,1,40
MALICIOUS,658.139438,CHcjaC2XC3jIr29629,192.168.1.135,51202,173.1.36.241,445,tcp,0.157248,0,0,REJ,1,52,1,40
MALICIOUS,653.572496,CRRGeXQMU27R3Ou6b,192.168.1.135,50997,125.27.164.202,445,tcp,0.230829,0,0,REJ,1,52,1,40
MALICIOUS,656.696523,CtoiVN2h1iTYe3QcMc,192.168.1.135,51126,86.28.39.222,445,tcp,0.034313,0,0,REJ,1,52,1,40
MALICIOUS,658.769689,CdVQwD3j2Om7Olfs3i,192.168.1.135,51209,131.117.144.233,445,tcp,0.018024,0,0,REJ,1,52,1,40
MALICIOUS,658.799982,CEhH8w3muhUBjf4Sb,192.168.1.135,51202,173.1.36.241,445,tcp,0.157222,0,0,REJ,1,52,1,40
MALICIOUS,665.961054,Cv7HpmDJW0K4xcVh8,192.168.1.135,51529,153.248.160.185,445,tcp,0.502658,0,0,REJ,1,52,1,40
MALICIOUS,667.644026,CDzgFz4Nc8PYG8a9u5,192.168.1.135,51602,126.23.190.166,445,tcp,0.313221,0,0,REJ,1,52,1,40
MALICIOUS,668.074453,CmXe7n4q7OBAl5TV89,192.168.1.135,51622,194.236.130.196,445,tcp,0.046285,0,0,REJ,1,52,1,40
MALICIOUS,666.961463,Co0vvA4DdR5oFMQ3Ek,192.168.1.135,51529,153.248.160.185,445,tcp,0.344233,0,0,REJ,1,52,1,40
MALICIOUS,668.62378,CsXl3K1TCadUyaHOb,192.168.1.135,51622,194.236.130.196,445,tcp,0.046471,0,0,REJ,1,52,1,40
MALICIOUS,668.463441,C4BKI2378HbR4RsNLd,192.168.1.135,51602,126.23.190.166,445,tcp,0.313441,0,0,REJ,1,52,1,40
MALICIOUS,674.353357,CLmZcu1xucyWFrkYE,192.168.1.135,51909,187.162.148.64,445,tcp,0.165732,0,0,REJ,1,52,1,40
MALICIOUS,676.246592,CETPru47O4w5eZr5Yd,192.168.1.135,51998,177.166.218.156,445,tcp,0.38097,0,0,REJ,1,52,1,40
MALICIOUS,675.023517,CrXZPH2CUq8adQy3K9,192.168.1.135,51909,187.162.148.64,445,tcp,0.165863,0,0,REJ,1,52,1,40
MALICIOUS,681.183941,C3K4FnNDo6IFxJPi1,192.168.1.135,52244,97.120.64.137,445,tcp,0.210746,0,0,REJ,1,52,1,40
MALICIOUS,681.754244,CAnew24CvccHPkCwP3,192.168.1.135,52269,46.106.194.59,445,tcp,0.101016,0,0,REJ,1,52,1,40
MALICIOUS,681.763242,CIkRBz1ay9Aw9yBQ0b,192.168.1.135,52270,107.6.144.172,445,tcp,0.119513,0,0,REJ,1,52,1,40
MALICIOUS,677.136152,CXoqrHkDqh3uMELHi,192.168.1.135,51998,177.166.218.156,445,tcp,0.398342,0,0,REJ,1,52,1,40
MALICIOUS,684.066489,ChLVmr4kXrXcOw2wkk,192.168.1.135,52388,83.211.186.69,445,tcp,0.064141,0,0,REJ,1,52,1,40
MALICIOUS,684.958161,CHgIVYIxabKl1Vs14,192.168.1.135,52432,97.79.234.173,445,tcp,0.241534,0,0,REJ,1,52,1,40
